year,month,CPI,temperature,all sectors,commercial,industrial,date
2001,1,175.1,31.35,310816.0,90825.0,83477.0,2001-01-01
2001,2,175.8,33.98,272335.0,81467.0,82248.0,2001-02-01
2001,3,176.2,41.49,269298.0,84064.0,83522.0,2001-03-01
2001,4,176.9,53.08,254391.0,81061.0,82253.0,2001-04-01
2001,5,177.7,62.82,264490.0,87471.0,86097.0,2001-05-01
2001,6,178.0,69.24,290008.0,95658.0,85269.0,2001-06-01
2001,7,177.5,74.48,315798.0,102156.0,83176.0,2001-07-01
2001,8,177.5,74.3,332193.0,105622.0,86797.0,2001-08-01
2001,9,178.3,65.7,295925.0,96704.0,82631.0,2001-09-01
2001,10,177.7,54.37,267559.0,89378.0,83145.0,2001-10-01
2001,11,177.4,47.41,253034.0,83226.0,79914.0,2001-11-01
2001,12,176.7,36.12,268611.0,85436.0,78081.0,2001-12-01
2002,1,177.1,34.48,290967.0,87429.0,78240.0,2002-01-01
2002,2,177.8,36.39,263728.0,80951.0,78059.0,2002-02-01
2002,3,178.8,39.54,267460.0,83545.0,80461.0,2002-03-01
2002,4,179.8,53.49,257946.0,83619.0,80750.0,2002-04-01
2002,5,179.8,59.29,269323.0,88974.0,84460.0,2002-05-01
2002,6,179.9,70.86,296470.0,95903.0,84387.0,2002-06-01
2002,7,180.1,75.85,337285.0,105986.0,88123.0,2002-07-01
2002,8,180.7,72.86,338115.0,105819.0,88265.0,2002-08-01
2002,9,181.0,66.85,310498.0,100809.0,84346.0,2002-09-01
2002,10,181.3,51.84,284178.0,96313.0,83984.0,2002-10-01
2002,11,181.3,41.97,263034.0,86095.0,79706.0,2002-11-01
2002,12,180.9,35.08,286462.0,89054.0,79456.0,2002-12-01
2003,1,181.7,32.81,304263.0,98557.0,80828.0,2003-01-01
2003,2,183.1,32.79,282240.0,91239.0,79517.0,2003-02-01
2003,3,184.2,43.3,274473.0,92580.0,81758.0,2003-03-01
2003,4,183.8,51.89,256710.0,89685.0,83058.0,2003-04-01
2003,5,183.5,60.98,268788.0,95819.0,84619.0,2003-05-01
2003,6,183.7,68.05,290450.0,102407.0,86210.0,2003-06-01
2003,7,183.9,75.47,334209.0,115233.0,87732.0,2003-07-01
2003,8,184.6,74.66,341819.0,116224.0,90536.0,2003-08-01
2003,9,185.2,64.96,306590.0,106473.0,85682.0,2003-09-01
2003,10,185.0,56.55,277380.0,100036.0,86982.0,2003-10-01
2003,11,184.5,42.35,262977.0,92605.0,83164.0,2003-11-01
2003,12,184.3,35.29,293836.0,97870.0,82288.0,2003-12-01
2004,1,185.2,30.34,307856.0,99281.0,80823.0,2004-01-01
2004,2,186.2,33.57,286433.0,93677.0,79668.0,2004-02-01
2004,3,187.4,47.41,278182.0,95331.0,83328.0,2004-03-01
2004,4,188.0,52.68,262851.0,93532.0,83369.0,2004-04-01
