No,year,month,CPI,temperature,all sectors,commercial,industrial
1,2001,1,175.1,31.35,310816,90825,83477
2,2001,2,175.8,33.98,272335,81467,82248
3,2001,3,176.2,41.49,269298,84064,83522
4,2001,4,176.9,53.08,254391,81061,82253
5,2001,5,177.7,62.82,264490,87471,86097
6,2001,6,178,69.24,290008,95658,85269
7,2001,7,177.5,74.48,315798,102156,83176
8,2001,8,177.5,74.3,332193,105622,86797
9,2001,9,178.3,65.7,295925,96704,82631
10,2001,10,177.7,54.37,267559,89378,83145
11,2001,11,177.4,47.41,253034,83226,79914
12,2001,12,176.7,36.12,268611,85436,78081
13,2002,1,177.1,34.48,290967,87429,78240
14,2002,2,177.8,36.39,263728,80951,78059
15,2002,3,178.8,39.54,267460,83545,80461
16,2002,4,179.8,53.49,257946,83619,80750
17,2002,5,179.8,59.29,269323,88974,84460
18,2002,6,179.9,70.86,296470,95903,84387
19,2002,7,180.1,75.85,337285,105986,88123
20,2002,8,180.7,72.86,338115,105819,88265
21,2002,9,181,66.85,310498,100809,84346
22,2002,10,181.3,51.84,284178,96313,83984
23,2002,11,181.3,41.97,263034,86095,79706
24,2002,12,180.9,35.08,286462,89054,79456
25,2003,1,181.7,32.81,304263,98557,80828
26,2003,2,183.1,32.79,282240,91239,79517
27,2003,3,184.2,43.3,274473,92580,81758
28,2003,4,183.8,51.89,256710,89685,83058
29,2003,5,183.5,60.98,268788,95819,84619
30,2003,6,183.7,68.05,290450,102407,86210
31,2003,7,183.9,75.47,334209,115233,87732
32,2003,8,184.6,74.66,341819,116224,90536
33,2003,9,185.2,64.96,306590,106473,85682
34,2003,10,185,56.55,277380,100036,86982
35,2003,11,184.5,42.35,262977,92605,83164
36,2003,12,184.3,35.29,293836,97870,82288
37,2004,1,185.2,30.34,307856,99281,80823
38,2004,2,186.2,33.57,286433,93677,79668
39,2004,3,187.4,47.41,278182,95331,83328
40,2004,4,188,52.68,262851,93532,83369
41,2004,5,189.1,61.92,279036,100879,86988
42,2004,6,189.7,68.09,307772,108122,86732
43,2004,7,189.4,72.9,333907,115495,88479
44,2004,8,189.5,70.16,330927,114452,89440
45,2004,9,189.9,65.66,308566,109595,86019
46,2004,10,190.9,55.36,281737,102326,85346
47,2004,11,191,43.99,270163,95753,84191
48,2004,12,190.3,35.06,300050,101980,83467
49,2005,1,190.7,33.39,309079,100862,82242
50,2005,2,191.8,37.94,279514,93257,78935
51,2005,3,193.3,42.31,286791,98924,83185
52,2005,4,194.6,52.27,264168,94439,82389
53,2005,5,194.4,59.56,273500,99702,85852
54,2005,6,194.5,69.21,319381,114101,88033
55,2005,7,195.4,75.31,355514,122037,88386
56,2005,8,196.4,73.2,362544,124436,90536
57,2005,9,198.8,67.37,330923,116517,87256
58,2005,10,199.2,55.38,297626,108474,85856
59,2005,11,197.6,45.01,274585,98799,83512
60,2005,12,196.8,32.7,307343,103531,82974
61,2006,1,198.3,38.93,304866,101933,81865
62,2006,2,198.7,34.83,281046,95713,80207
63,2006,3,199.8,42.62,289970,101115,83264
64,2006,4,201.5,55.26,268208,96551,81696
65,2006,5,202.5,62.28,287198,106442,86179
66,2006,6,202.9,70.75,321840,115785,86630
67,2006,7,203.5,76.41,362387,125541,88880
68,2006,8,203.9,73.4,368634,127655,90285
69,2006,9,202.9,63.3,317282,114231,86364
70,2006,10,201.8,52.59,291186,109000,85337
71,2006,11,201.5,44.08,277182,101104,80653
72,2006,12,201.8,36.57,300119,104673,79937
73,2007,1,202.416,31.35,315104,106667,82384
74,2007,2,203.499,32.41,301331,100756,78392
75,2007,3,205.352,47.66,291660,102640,82582
76,2007,4,206.686,50.54,275341,101051,83361
77,2007,5,207.949,62.33,292800,108559,87241
78,2007,6,208.352,69.87,323007,117352,87572
79,2007,7,208.299,74.7,352642,123923,89017
80,2007,8,207.917,74.64,373365,130475,92115
81,2007,9,208.49,66.43,337525,119898,87428
82,2007,10,208.936,56.68,307783,114481,88896
83,2007,11,210.177,44.01,286299,104603,85118
84,2007,12,210.036,33.22,307704,105909,83725
85,2008,1,211.08,30.27,326215,109061,83091
86,2008,2,211.693,34.7,305095,104397,81484
87,2008,3,213.528,41.86,294625,103335,83498
88,2008,4,214.823,50.4,277963,101487,83696
89,2008,5,216.632,59.36,288276,107473,87963
90,2008,6,218.815,69.6,328592,119373,87224
91,2008,7,219.964,74.08,360427,128072,88527
92,2008,8,219.086,72.28,351856,124196,88552
93,2008,9,218.783,65.21,321906,118289,85910
94,2008,10,216.573,53.98,291762,110850,84164
95,2008,11,212.425,43.92,278330,102415,79539
96,2008,12,210.228,31.87,308916,107186,75869
97,2009,1,211.143,31.05,321624,109643,74983
98,2009,2,212.193,36.77,286251,99011,71358
99,2009,3,212.709,42.87,283808,102458,74171
100,2009,4,213.24,50.92,265464,99804,73415
101,2009,5,213.856,61.65,275276,105212,75151
102,2009,6,215.693,68.54,305520,114832,75681
103,2009,7,215.351,72.63,337878,121323,78391
104,2009,8,215.834,71.89,344845,123777,82199
105,2009,9,215.969,66.38,310563,114900,79863
106,2009,10,216.177,50.5,287116,108514,79451
107,2009,11,216.33,45.84,268158,98901,75639
108,2009,12,215.949,29.64,310291,108478,77115
109,2010,1,216.687,30.67,331879,108121,75549
110,2010,2,216.741,31.8,298460,100747,74191
111,2010,3,217.631,43.57,292511,101751,78319
112,2010,4,218.009,53.24,267052,99790,78620
113,2010,5,218.178,59.88,283729,106172,82114
114,2010,6,217.965,70.48,330893,119385,83360
115,2010,7,218.011,74.71,369018,127924,85744
116,2010,8,218.312,74.05,371769,129166,87927
117,2010,9,218.439,66.49,327742,119137,83390
118,2010,10,218.711,56.14,287840,108461,82081
119,2010,11,218.803,42.31,274900,101519,79614
120,2010,12,219.179,32.47,319048,108026,80313
121,2011,1,220.223,29.71,334116,108251,80093
122,2011,2,221.309,33.04,296903,99796,76361
123,2011,3,223.467,43.07,292052,104257,82209
124,2011,4,224.906,51.96,275204,100506,80367
125,2011,5,225.964,59.13,287993,107625,82061
126,2011,6,225.722,69.82,328707,118170,83912
127,2011,7,225.922,76.14,370692,128065,87247
128,2011,8,226.545,75,372720,129368,88987
