year,month,CPI,temperature,GDP,population,urbanization_rate,INDPRO,all sectors,commercial,industrial,residential,date
2001,1,175.1,31.35,37068.381,284968955.0,79.1,91.8903,310816.0,90825.0,83477.0,127066.0,2001-01-01
2001,2,175.8,33.98,37068.381,284968955.0,79.1,91.2915,272335.0,81467.0,82248.0,99878.0,2001-02-01
2001,3,176.2,41.49,37068.381,284968955.0,79.1,91.0526,269298.0,84064.0,83522.0,92805.0,2001-03-01
2001,4,176.9,53.08,37068.381,284968955.0,79.1,90.7293,254391.0,81061.0,82253.0,82454.0,2001-04-01
2001,5,177.7,62.82,37068.381,284968955.0,79.1,90.2577,264490.0,87471.0,86097.0,81731.0,2001-05-01
2001,6,178.0,69.24,37068.381,284968955.0,79.1,89.7677,290008.0,95658.0,85269.0,99407.0,2001-06-01
2001,7,177.5,74.48,37068.381,284968955.0,79.1,89.226,315798.0,102156.0,83176.0,120707.0,2001-07-01
2001,8,177.5,74.3,37068.381,284968955.0,79.1,89.1326,332193.0,105622.0,86797.0,129205.0,2001-08-01
2001,9,178.3,65.7,37068.381,284968955.0,79.1,88.6679,295925.0,96704.0,82631.0,105943.0,2001-09-01
2001,10,177.7,54.37,37068.381,284968955.0,79.1,88.3926,267559.0,89378.0,83145.0,85420.0,2001-10-01
2001,11,177.4,47.41,37068.381,284968955.0,79.1,87.8774,253034.0,83226.0,79914.0,80807.0,2001-11-01
2001,12,176.7,36.12,37068.381,284968955.0,79.1,87.8344,268611.0,85436.0,78081.0,96184.0,2001-12-01
2002,1,177.1,34.48,37902.1968,287625193.0,79.1,88.4665,290967.0,87429.0,78240.0,116892.0,2002-01-01
2002,2,177.8,36.39,37902.1968,287625193.0,79.1,88.4661,263728.0,80951.0,78059.0,96593.0,2002-02-01
2002,3,178.8,39.54,37902.1968,287625193.0,79.1,89.1228,267460.0,83545.0,80461.0,95319.0,2002-03-01
2002,4,179.8,53.49,37902.1968,287625193.0,79.1,89.5532,257946.0,83619.0,80750.0,85408.0,2002-04-01
2002,5,179.8,59.29,37902.1968,287625193.0,79.1,89.934,269323.0,88974.0,84460.0,87319.0,2002-05-01
2002,6,179.9,70.86,37902.1968,287625193.0,79.1,90.6769,296470.0,95903.0,84387.0,107170.0,2002-06-01
2002,7,180.1,75.85,37902.1968,287625193.0,79.1,90.6455,337285.0,105986.0,88123.0,133695.0,2002-07-01
2002,8,180.7,72.86,37902.1968,287625193.0,79.1,90.5475,338115.0,105819.0,88265.0,134332.0,2002-08-01
2002,9,181.0,66.85,37902.1968,287625193.0,79.1,90.6381,310498.0,100809.0,84346.0,115833.0,2002-09-01
