No,year,month,CPI,temperature,GDP,population,urbanization_rate,INDPRO,all sectors,commercial,industrial,residential
1,2001,1,175.1,31.35,37068.381,284968955,79.1,91.8903,310816,90825,83477,127066
2,2001,2,175.8,33.98,37068.381,284968955,79.1,91.2915,272335,81467,82248,99878
3,2001,3,176.2,41.49,37068.381,284968955,79.1,91.0526,269298,84064,83522,92805
4,2001,4,176.9,53.08,37068.381,284968955,79.1,90.7293,254391,81061,82253,82454
5,2001,5,177.7,62.82,37068.381,284968955,79.1,90.2577,264490,87471,86097,81731
6,2001,6,178,69.24,37068.381,284968955,79.1,89.7677,290008,95658,85269,99407
7,2001,7,177.5,74.48,37068.381,284968955,79.1,89.226,315798,102156,83176,120707
8,2001,8,177.5,74.3,37068.381,284968955,79.1,89.1326,332193,105622,86797,129205
9,2001,9,178.3,65.7,37068.381,284968955,79.1,88.6679,295925,96704,82631,105943
10,2001,10,177.7,54.37,37068.381,284968955,79.1,88.3926,267559,89378,83145,85420
11,2001,11,177.4,47.41,37068.381,284968955,79.1,87.8774,253034,83226,79914,80807
12,2001,12,176.7,36.12,37068.381,284968955,79.1,87.8344,268611,85436,78081,96184
13,2002,1,177.1,34.48,37902.1968,287625193,79.1,88.4665,290967,87429,78240,116892
14,2002,2,177.8,36.39,37902.1968,287625193,79.1,88.4661,263728,80951,78059,96593
15,2002,3,178.8,39.54,37902.1968,287625193,79.1,89.1228,267460,83545,80461,95319
16,2002,4,179.8,53.49,37902.1968,287625193,79.1,89.5532,257946,83619,80750,85408
17,2002,5,179.8,59.29,37902.1968,287625193,79.1,89.934,269323,88974,84460,87319
18,2002,6,179.9,70.86,37902.1968,287625193,79.1,90.6769,296470,95903,84387,107170
19,2002,7,180.1,75.85,37902.1968,287625193,79.1,90.6455,337285,105986,88123,133695
20,2002,8,180.7,72.86,37902.1968,287625193,79.1,90.5475,338115,105819,88265,134332
21,2002,9,181,66.85,37902.1968,287625193,79.1,90.6381,310498,100809,84346,115833
22,2002,10,181.3,51.84,37902.1968,287625193,79.1,90.4041,284178,96313,83984,94531
23,2002,11,181.3,41.97,37902.1968,287625193,79.1,90.8985,263034,86095,79706,88822
24,2002,12,180.9,35.08,37902.1968,287625193,79.1,90.389,286462,89054,79456,109266
25,2003,1,181.7,32.81,39354.3921,290107933,79.1,91.1355,304263,98557,80828,124273
26,2003,2,183.1,32.79,39354.3921,290107933,79.1,91.2502,282240,91239,79517,110937
27,2003,3,184.2,43.3,39354.3921,290107933,79.1,91.0059,274473,92580,81758,99561
28,2003,4,183.8,51.89,39354.3921,290107933,79.1,90.4281,256710,89685,83058,83448
29,2003,5,183.5,60.98,39354.3921,290107933,79.1,90.4073,268788,95819,84619,87804
30,2003,6,183.7,68.05,39354.3921,290107933,79.1,90.5218,290450,102407,86210,101286
31,2003,7,183.9,75.47,39354.3921,290107933,79.1,90.9896,334209,115233,87732,130674
32,2003,8,184.6,74.66,39354.3921,290107933,79.1,90.7858,341819,116224,90536,134468
33,2003,9,185.2,64.96,39354.3921,290107933,79.1,91.3829,306590,106473,85682,113849
34,2003,10,185,56.55,39354.3921,290107933,79.1,91.5005,277380,100036,86982,89781
